"X0.26_slope","X0.26_qval","X0.76_slope","X0.76_qval","X1.3_slope","X1.3_qval","X1.8_slope","X1.8_qval","X2.3_slope","X2.3_qval","X3.2_slope","X3.2_qval","X4_slope","X4_qval","X4.5_slope","X4.5_qval","X5_slope","X5_qval","X5.5_slope","X5.5_qval","X5.8_slope","X5.8_qval","X5.9_slope","X5.9_qval","X6.1_slope","X6.1_qval","pf","pk"
"PBANKA_0106600",0.00145985994913038,0.731464821606312,-0.000260886418231346,0.306064587621687,0.095478962191439,2.69539665483785e-14,0.429560014899653,6.95354495593405e-79,-0.468588025890292,1.90006369952561e-16,-0.0802627839476563,1.03332301045153e-15,-0.000351087860009226,0.703273723574958,0.00403704787054159,0.180651541185594,-0.00353827630390464,0.338291266462405,-0.00210323672258944,0.00488521355231391,0.00250782074900412,0.884736067151138,0.00415659359145447,0.607630064273872,0.000771871903449454,0.309855570639668,"PF3D7_0608000","PKNH_1142300"
"PBANKA_0106800",0.15005405744653,0.187200189178056,-0.241397519696872,3.6189202694398e-05,0.309281793768888,1.66171210247282e-29,-0.106254221471477,7.45459819222594e-21,-0.0344978000296571,0.00053749067114705,0.00886988859906548,0.00354587442960573,-0.0771187371566668,0.000751167263411156,0.00278010588222008,0.467424751928583,0.000829289170582056,0.256462788066521,0.205528924741901,0.0486124885751006,-0.49882807728516,0.831231398686864,-0.386867110951675,0.848217106283479,0.0289269269092579,0.890359606957684,"PF3D7_0608200","PKNH_1142100"
"PBANKA_0107100",-0.0128533663810799,0.293365093676593,0.0251453017491806,0.469249476892539,0.716659013340397,1.5857027617363e-85,-0.359235420208067,5.43953397541562e-31,-0.288038597518306,9.97141131825207e-17,0.0231797834585033,0.00213211633488112,-0.0241309127516042,0.0612171872577655,-0.0112115613807342,7.03977931044969e-09,-0.000883067960903811,7.55726403883346e-11,0.000747871036309585,6.83661983154254e-10,-0.000184701615831228,1,-0.164811497670231,0.607630064273872,-0.00927774742805372,0.864609732786581,"PF3D7_0608500","PKNH_1141700"
"PBANKA_0108600",0.00847199608446467,0.728511399972537,0.335705341408519,6.29277751700904e-07,0.483753265349101,2.3756114412977e-24,-0.732243820083381,3.78582297674038e-159,-0.103662186064656,2.21985696127126e-08,-0.00969502766276528,0.0226444406331837,0.0156182648807471,0.0584283522398456,-0.0771496678667301,2.95682802522619e-08,0.00739013755863354,0.201151303887086,-0.00121088578197462,0.739852429900553,0.27655160051986,0.8075414615236,0.0484358866171021,0.607630064273872,-0.116804070113301,0.611705324196488,"PF3D7_0610100","PKNH_1140100"
"PBANKA_0109300",-0.000490817544032694,0.375897607104901,-0.00118544120055125,0.850080329543057,0.00360219601448944,0.00160082807133659,0.0103350735972489,2.30239134024679e-06,0.0475342807104994,1.34126868070413e-05,0.161925429555349,4.9430452320962e-10,-0.200138185988437,0.000383424567188915,-0.186715674125193,1.05314027843416e-05,0.00142798751471623,0.566535954879419,-0.000534198859595677,0.000157647963684472,6.0867454945332e-05,1,0.000723652808830378,0.691133010806456,0.027422954431081,0.611705324196488,"PF3D7_0611000","PKNH_1139400"
"PBANKA_0110000",0.497096741821838,1.68078960113559e-05,0.404030850787589,0.12119528200355,-0.829715921469801,1.05453984900164e-93,-0.00129057574360186,0.181327831248265,0,1,0,1,0.00385193867285768,0.0613157220903555,-0.041626441391005,6.58660566212426e-10,-0.000920345904336594,0.594658494506221,0.00721922182396613,0.00309813247617791,-0.021931320547376,0.989710118028727,-0.0476739823664507,0.685138070230849,0.144434246482103,0.573264279010516,NA,NA
"PBANKA_0110300",-0.000368053991458447,0.713998894979526,-0.00106824553949304,0.306064587621687,0.00369912424472995,0.0148537898321154,0.0623267155303147,1.72557810275813e-52,0.186919503809838,2.47753312437415e-21,0.0463595552122933,0.065007997566561,-0.0546628427513903,0.580017833844854,-0.0482452169001875,1.86014304895229e-05,-0.0029277779483084,0.269319442263997,-9.56049449773923e-05,0.0051198344579099,0.000387033776842282,0.884736067151138,0.00047776948359487,0.677656229501326,0.103087000314117,0.690537522166467,"PF3D7_0612000","PKNH_1138000"
"PBANKA_0110500",-0.00357288267746379,0.699417697823049,0.00318496986316019,0.483763403004364,-0.00160183955698137,0.094189337210312,0.0256129547872656,4.06522364068908e-31,0.00252250501816359,0.886325800462942,0.0336528669356511,2.48265550986273e-05,1.02428989547117,1.57602004194448e-28,-0.724322270972083,2.10275427407186e-24,-0.127345190243237,0.00840073675120081,0.00306660140131914,0.0734849261152107,-0.00907469572744794,0.99405930268329,-0.0100478365495326,0.733923345787839,0.0091846716268638,0.819877074168477,"PF3D7_0612200","PKNH_1137800"
"PBANKA_0111300.2",-0.572180723106235,0.000475825967800908,-0.0135323767820531,0.711708887853077,0.107588279155159,3.5502534766116e-12,-0.0846974970169701,2.30847630962237e-11,-0.104104714287781,1.34911185427477e-09,-0.000391262100264094,0.682781071103178,-0.000793673388880245,4.23129494656176e-05,-0.00247217491509141,0.741130183945323,0.000810595186529442,8.4714048497319e-06,0.315601111451083,0.000607661314544571,0.370884923863582,0.996678945749952,2.29997415746958,0.607630064273872,0.56219419810243,0.174596929217029,NA,NA
"PBANKA_0111600",-0.0262245868803853,0.678842722645199,1.2676331985944e-05,0.388319481223022,-5.6199709374362e-05,0.2745830814962,-6.59949311689223e-05,0.000130711291440767,0.00451235893626831,0.0682972926260431,0.0136052097383397,0.000947245701676314,0.834463828308708,1.01352148822781e-31,-0.681202038074924,9.60945155032391e-25,-0.425772641945965,3.66714718278398e-10,-0.00326204350400079,0.367668437915961,0.470771923148307,0.8075414615236,0.639817798322323,0.607630064273872,-0.0917619015238297,0.594799891200214,"PF3D7_0613300","PKNH_1136700"
