"X0.26_slope","X0.26_qval","X0.76_slope","X0.76_qval","X1.3_slope","X1.3_qval","X1.8_slope","X1.8_qval","X2.3_slope","X2.3_qval","X3.2_slope","X3.2_qval","X4_slope","X4_qval","X4.5_slope","X4.5_qval","X5_slope","X5_qval","X5.5_slope","X5.5_qval","X5.8_slope","X5.8_qval","X5.9_slope","X5.9_qval","X6.1_slope","X6.1_qval","pk","pb"
"PF3D7_0107200",0.0001330328485794,0.678703948842491,0.00107984253484966,0.992721944520643,0.0131841474726379,0.754591002689024,0.0286947724418448,2.20159032434079e-06,-0.0271400817920981,2.751278293847e-06,-0.0022354542707419,0.000354788775763209,1.8956423884091e-05,0.100773892275109,9.75821518727074e-05,1.09024162153319e-27,-0.000131008765842066,1.19247855899079e-06,-4.3238054283565e-06,0.753187030859999,9.95039013437291e-06,0.979368050376794,0.000224464878993135,0.934744965737756,8.01167537651869e-05,1,"PKNH_0206300","PBANKA_0206100"
"PF3D7_0108800",-0.0117406674190218,0.678703948842491,0.0102308953318693,1,-0.0153821772294745,0.836822191645768,0.0966816725279518,6.42967530870062e-21,-0.0725554368988445,2.66431752108682e-05,-0.0114652211339689,5.88931828050417e-05,0.00823384368658354,0.664022189006319,-0.016280316180473,0.0030283312185358,-0.0286459653417124,1.44858940373943e-08,-8.10893151005332e-05,1.31250844798107e-05,8.46163389751371e-05,1,6.38366973297064e-07,0.934744965737756,2.89952670114182e-09,1,"PKNH_0204900","PBANKA_0204700"
"PF3D7_0109850",-0.0681229382927293,0.678703948842491,-7.56172301073708e-05,0.992721944520643,0.00251310568677659,0.95549826070126,0.0321424148846787,4.61195217119943e-06,0.0225324866040931,0.0375994588378584,0.001559924906866,0.91686739653828,0.193495648094,0.0220883525897519,-0.387873919816382,1.15152123710197e-18,-0.006556575924603,0.229750228251728,1.16858250705085e-05,0.539874660190729,-1.06540348456684e-07,1,4.37984376100129e-07,0.934744965737756,2.26013132548577e-09,1,NA,NA
"PF3D7_0110600",0,1,-0.04496437445717,0.992721944520643,0.00105181589495612,0.997142299439373,-0.0962625691467318,9.70023784152875e-20,-0.0549449525008541,9.3177093913286e-16,0.00126681392334118,0.455401312303594,-0.0201344191840451,0.00742328155884874,-2.27332447252354e-05,0.904128651677441,-1.404384905039e-06,0.175462932358612,0,1,0,1,0,1,0,1,"PKNH_0203300","PBANKA_0203100"
"PF3D7_0111800",-0.0168384982899581,0.678703948842491,0.0369111750159129,0.992721944520643,0.0495764835684659,0.697839372017762,0.0201102227994426,0.0273365247350216,-0.0933811467121182,3.85392499918487e-29,-0.00190457071808516,0.00584168713619964,0.00180177519110438,0.000970464559960499,-0.00151710754044754,4.6020056528068e-06,-1.93613885281197e-06,0.926270247718588,5.0716175101218e-06,0.583925122925998,1.16267740472227e-06,1,-1.33451477306698e-05,0.943099098025198,1.21122763692152e-06,1,"PKNH_0201800","PBANKA_0202000"
"PF3D7_0201800",-0.00428017778786927,0.678703948842491,0.117371475284298,0.983417959434541,-0.0200731871017169,0.836822191645768,-0.0487211397393418,2.93355882976032e-16,-0.00595052789616771,6.3427606387921e-05,-2.28319317863633e-05,0.183492642802084,0.000713977125352369,0.184239605331296,0.000353441268397215,0.00201363436183982,-0.0030933590227829,0.186627756495232,-0.000291024974902083,0.56540187460107,1.38283526468261e-05,1,-5.21632434175033e-07,1,-1.28672705322153e-06,1,NA,NA
"PF3D7_0202800",-5.78513116913061e-05,0.906155738354743,1.48185050706438e-05,0.992721944520643,0.00757852830394055,0.901108992167878,0.0422138321573327,1.71364227563416e-26,-0.0134322997113263,0.100104359440652,-0.00582121102814226,0.00567596157763963,0.0358683746226065,0.00776770123329473,-0.0309879577699092,1.64426140281349e-09,-0.029550687214575,0.137409100129923,3.67675192328362e-05,0.0631833700748437,-0.000257659518929303,1,5.16913918322237e-05,1,3.88766959767217e-05,1,NA,NA
"PF3D7_0203400",-0.0239109499996279,0.678703948842491,-0.012015432884015,1,0.0418669024874955,0.736882509450889,0.100069143716773,6.1657966070599e-10,-0.0641465400221524,0.00119750942188106,-0.0379255677646367,7.17399492075311e-07,-0.0171585106206509,0.506435997806412,-0.0244912177711041,9.8225815575337e-06,-0.000204475945822035,0.180081812494124,3.18323526880127e-05,0.234906123011731,-4.62390523981094e-07,1,7.00308199055917e-07,0.934744965737756,-2.36107615904015e-07,0.792522629758778,"PKNH_0417700","PBANKA_0301300"
"PF3D7_0203800",3.43430627113231e-05,0.678703948842491,-1.44158983403164e-05,0.992721944520643,-0.0143851554830715,0.896190124995304,0.0193747763885665,1.04934857937699e-12,-0.00891632485387307,0.082696006493102,0.000644480150988359,0.716913035764919,-0.00334139902547564,0.586843690146196,-0.00395385796578747,2.92500042802214e-08,-0.000139175107340748,0.441870253985924,-0.00817627594150424,0.29905920627967,2.92534006352308e-06,1,8.01635337889127e-07,1,-2.73838347242601e-21,1,"PKNH_0417300","PBANKA_0301600"
"PF3D7_0205100",3.43153845449906e-05,0.678703948842491,-0.000308497389323126,1,0.0134344672527233,0.817393977960465,0.0663100289197603,5.24431527137365e-20,-0.0627945886394832,9.71679552939489e-11,-0.0066068619956976,2.31211973466157e-11,-0.00115312032860887,0.381818745671111,0.00143410308103088,1.35904975130856e-06,-0.00219455610623272,0.126257007955789,1.71972206984867e-06,0.000547529961897847,-9.88769062182135e-07,1,2.73472860359066e-06,0.934744965737756,-2.73838347242601e-21,1,"PKNH_0415800","PBANKA_0302800"
