"X0.26_slope","X0.26_qval","X0.76_slope","X0.76_qval","X1.3_slope","X1.3_qval","X1.8_slope","X1.8_qval","X2.3_slope","X2.3_qval","X3.2_slope","X3.2_qval","X4_slope","X4_qval","X4.5_slope","X4.5_qval","X5_slope","X5_qval","X5.5_slope","X5.5_qval","X5.8_slope","X5.8_qval","X5.9_slope","X5.9_qval","X6.1_slope","X6.1_qval","pf","pb"
"PKNH_0107600",-0.218727252225267,9.09083608817603e-05,0.0645578974834662,0.0452413147527279,0.335145954612398,6.45820818897699e-09,-0.30499237477877,1.80748470419848e-22,-0.0398309774410969,0.000320342773903936,-0.0754834888037211,2.80265206802755e-74,0.000227214318883206,1,0.00536657429033444,0.465180246425089,0.0699179154189562,0.00018376764727349,0.510541532907837,5.37747823446942e-12,-1.29337377628485,0.984063093901276,-0.615207979419917,0.886771622109115,-0.156190183244773,0.453978625076795,"PF3D7_0709000","PBANKA_1219500"
"PKNH_0110250",-3.07232286996572e-05,0.000482410258123659,-0.000327948571385171,0.428982063695427,0.129275864098966,8.53141875158159e-06,-0.223339958388806,2.67497380966239e-12,0.464213455805318,7.56616290088918e-27,0.256767235653131,2.7700753022937e-32,-0.268154670241843,0.0232296104587735,-0.643122164205588,2.09399978796202e-103,0.00160529740992516,0.686647029864132,0.000618970140708962,0.408553690173201,-3.82889972663783e-05,1,-0.165515746584826,0.0186372809062231,-0.000108479997477288,0.002093135140669,NA,NA
"PKNH_0111200",5.10885189584186e-05,0.0517515131093976,0.0358351342260479,0.466478549575404,0.144983655833175,0.000187181745066089,-0.089298455245592,2.941430114487e-06,0.0685034217709022,1.79554482178986e-06,-0.0366404991156579,1.39004096626038e-21,0.0182719039642246,0.0704590610273823,0.0174056239950296,0.000905884309063472,-0.0255775724336842,0.0312162044427851,0.000353539629022006,0.874693827365817,0.0125688846377806,0.984063093901276,0.00395449953154432,0.438531138947648,-0.00100707703658001,0.570798330260576,"PF3D7_0807600","PBANKA_1223000"
"PKNH_0112000",-1.48202524984082,2.02466365383291e-15,-0.0757639446439382,0.413216075255076,0.031999736645237,2.56232067041885e-10,0.0345305245022727,2.40637990370746e-05,0.0340332946682343,0.000243862055521454,0.00552632820559574,0.359825341466073,-0.0732200447483508,0.00403069102921527,-0.0717484316354888,5.83342319694512e-11,0.597908475934315,4.15748248459707e-43,0.928572460168348,5.3205285388984e-28,-0.332062074113826,1,-0.840200205645816,0.728409905110126,0.546806998912432,0.00875817783419395,"PF3D7_0806800","PBANKA_1223800"
"PKNH_0112300",-0.0244474819146002,0.00161024967300149,-0.000372219781084329,0.00153107083218685,0.0339280288738546,0.0031349713147789,-0.039249530757751,0.096910711851641,-0.0101604488889442,0.664161286775048,-0.00200832766620179,0.649821588580421,0.0476390707855517,0.0640604717590427,-0.11343248960748,1.21421520481465e-28,0.783355239792209,3.34397755705109e-33,-0.057432065905594,0.529399610478242,1.17934005196736,0.984063093901276,1.75166583614525,0.231923564143323,-0.304849769779068,0.00405524065796806,"PF3D7_0806600","PBANKA_1224100"
"PKNH_0112900",-0.000561421869085696,0.92671245425504,0.000114471927870635,0.379522997091487,0.0464288159005748,6.81469448285664e-05,-0.0885160444311949,4.22910643230532e-07,0.041128982020465,5.49482664396586e-06,0.0169769338164228,0.0126726171182011,-0.0244547338817251,0.509469402110222,-0.0223659686926253,1.80628177181325e-09,0.0375226934828256,0.0625274660140829,-0.00537572538777053,0.0464228800714109,0.000540074487989653,1,5.25916832416196e-05,1,0.000375395631429666,0.029583412226675,"PF3D7_0806000","PBANKA_1224700"
"PKNH_0113000",0.00143956242149219,0.354017505412787,0.0055390688231898,0.465144132634618,0.472583031097376,3.92490419736828e-22,-0.324440647557283,6.16356236341073e-33,0.000110508461242668,0.0129071981674507,0.000244440594188705,3.58008521561487e-07,0.000622105086416048,0.0256675779637714,0.0440301779979803,3.0159640645909e-64,0.0228888128514898,0.364726669932352,-0.00621454752074245,0.112897335653026,0,1,0,1,0,1,NA,NA
"PKNH_0113800",-0.000268251215664382,0.00028536931576644,-0.000183332381847503,0.201079992006839,0.0821302070857807,0.000322376666884866,-0.181656111811133,2.50578230080732e-10,-0.00753274374696513,0.0801104917990156,0.000850604090133753,0.143177041866052,-0.000711847119210731,0.984112702737013,0.0013898461808933,0.421367013632112,0.0405625022189628,0.422980625415098,-0.000386570892560129,4.26943370880309e-10,0.00189913648217852,0.905654478471114,0.000237360028842716,0.965657257473934,3.49177859791741e-05,0.785606936427057,"PF3D7_0805400","PBANKA_1225200"
"PKNH_0114200",-8.6041439150256e-05,2.25997725610522e-05,-2.18102329187177e-06,0.699721039332122,0.0950830413436413,3.80080255491938e-06,-0.194945771091861,2.15805188705195e-05,-0.0551983743741341,0.0196264226511397,-0.0117127321991277,0.052904504029031,0.0128649150492374,0.634616044580365,-0.0661490059775311,7.29192615090583e-30,-0.00212986770901502,0.00340014922904802,0.000154904886707042,1.24045312428317e-09,0.00042970798862091,0.984063093901276,0.000492363532100413,0.656340500155403,-0.00219594148872253,0.870673947899964,"PF3D7_0805000","PBANKA_1225600"
"PKNH_0116000",-0.00247070154044251,0.12138499939796,0.0864426377098946,0.187763906203302,0.312291102382585,1.09695579415393e-07,0.00892490246967857,0.79597570492175,-0.165104043562006,6.8551506314067e-10,-0.0276942565246749,1.62275233493823e-16,0.00604751887372326,0.0167342823458238,0.358209980619268,1.63477021186974e-92,-0.123705586040996,0.000616756494484466,0.123283078920016,8.30719673069403e-05,-0.011880865733918,1,0.430824947360609,0.699912769789364,-0.142026197297376,0.00645162423765768,"PF3D7_0802900","PBANKA_1227300"
"PKNH_0117500",-0.00462222086678585,0.161080184419235,0.000156459414495167,3.98992444412795e-05,1.14240132958799e-05,0.0905851250096452,-1.30829873464006e-05,0.0785232507217797,-7.10772146541018e-05,1.34600251316215e-05,-3.06015074242303e-05,4.0713404365636e-06,8.69891002229039e-05,0.0148644838286412,0.000799926850357431,0.810882542416797,1.08822201635377,5.83449933867759e-44,-0.689101340712095,8.6699524018767e-08,-0.269240141887856,1,0.764196716251948,0.936625874598489,-0.905913034477862,0.000169432667449001,NA,NA
"PKNH_0117900",0.796162715859018,1.38829972075994e-10,-1.29726406907011,5.48920100409819e-11,0.00924405939842616,0.815945978100429,0.126883197998704,4.44034770916115e-08,-0.138447882945148,4.24979206301696e-09,-0.0430318939797631,7.04323057017448e-40,0.00857434482249834,0.151893115494089,-0.00120372457093907,0.710820196779442,0.000421939829887249,0.992514847605513,0.0452085006838628,3.5255930588528e-07,-0.100949641392064,0.989330207831287,0.293547523002938,0.657077618095903,0.326854370926529,0.00856832418378315,NA,NA
"PKNH_0200300",0.000131112494319535,0.0358132856408606,-0.0004217498486017,0.0561078706956597,0.00690032398496134,0.67505773443625,0.0564486293724724,2.39905859265686e-17,0.178551723436127,3.2928286622144e-11,0.0828546236981034,5.87796347046538e-12,0.173761572479167,0.022891596781344,-0.566001045616408,9.74186878621758e-86,0.00178405315198272,0.834145301004991,-0.000101288681497724,0.0846300455387518,0.000363520282449998,0.984063093901276,-0.00121552965700597,0.255459888082495,-0.000163418800179023,0.387373697918105,NA,NA
"PKNH_0201800",4.6602833655809e-05,0.00835220074747825,0.000304741415478873,0.0659197430318218,0.182632572293612,1.36706839157927e-11,-0.0870229879468698,0.000411517536938829,-0.091699481705306,9.65665095591605e-06,-0.0163020318740587,6.01022198648283e-08,0,1,0.0198583561542578,3.37723498279608e-13,-0.0139606074820187,1.85833329881974e-10,-7.5491643901276e-05,5.16558447978191e-06,0.000178947027850859,0.984063093901276,0.000312350414351108,0.228700697615441,-5.36958940467445e-05,0.0134832944125537,"PF3D7_0111800","PBANKA_0202000"
"PKNH_0203300",9.47121405033393e-05,6.43865390053681e-06,0.000245115165104126,1.07901034418945e-06,0.0143599090556041,6.6586226887379e-05,0.226763307686352,4.02138347497765e-51,-0.0976195143759405,1.00934827744135e-08,-0.0389279577014049,1.99317360768135e-21,0.000214493782592121,1,-0.0271677014952852,1.81482254368545e-10,1.53401659577441,3.57094370409445e-66,-1.4631153634836,6.77733948673181e-27,0.376588554918084,0.984063093901276,-0.193262859585518,0.947408510337688,-0.0809870379124391,0.110300009138432,"PF3D7_0110600","PBANKA_0203100"
"PKNH_0203850",-0.0854408435566137,5.16953080925515e-08,-0.00343465460841525,0.956699686975975,0.109637549033004,1.43298626356136e-05,-0.15993026995281,4.99087509272621e-06,0.0623296754751828,0.0160345293798302,0.0268297973990151,0.00849788124648495,-0.0271410788436904,0.687417720207102,-0.103217460694052,4.922120523067e-35,0.0257617669106034,4.40941925641017e-06,0.0123271350587678,0.022466205702787,0.0720104492218452,0.984063093901276,0.0476719051838222,0.91699057073046,0.111391375812873,0.000335724964057016,NA,NA
"PKNH_0203950",-0.00807046208870918,0.0126342429408009,0.000317900975722402,0.648190589319648,-0.00018470817547445,0.979788650343181,0.314982902412573,2.46601452176794e-40,0.0356093892496291,0.615617950376559,-0.0773971036678553,1.43319457240464e-05,-0.153245772315641,0.0360660672172328,-0.067620528394658,1.65334412946478e-10,0.157186144583571,8.0090441605859e-16,-0.402044527128897,8.41783228907202e-05,1.41254897680727,0.905654478471114,1.43075332657054,0.411560153217646,-0.108578805124152,0.0855587296225475,NA,NA
"PKNH_0204900",5.67820346945784e-07,0.627188422057446,0.0109436692293745,0.465144132634618,0.386962732951495,2.21743214432449e-16,-0.240349669989391,7.2921317311162e-18,-0.027856322835368,0.0707857385941245,-0.0106456250829461,7.99697231189108e-07,0.00201154897619782,0.369755925516154,-0.000274622994350328,0.815365904067905,-0.000571656380790711,0.27375213473613,-5.26970297803563e-06,0.657282227578979,5.72457325209981e-06,0.984063093901276,0.000269014141818571,0.0186372809062231,3.79014102281334e-06,0.00124219811427237,"PF3D7_0108800","PBANKA_0204700"
"PKNH_0206000",-0.176346500031106,8.75369213632961e-08,0,1,0.00696515295546079,0.0169960154552953,0.0189148463902532,0.358403338478537,-0.0305795032729346,0.0151520200705744,-0.0195540864644911,5.071982837973e-23,-0.000284439024332606,0.687417720207102,0.06720065125182,2.91575895479166e-36,-0.221192625391587,7.05157712096656e-25,0.653868035063175,2.38556266097952e-11,-1.68934031190475,0.984063093901276,-0.570632910119842,0.91699057073046,-0.324132739374982,0.00902510252986294,NA,NA
"PKNH_0206300",-0.0263364399392238,0.0212308127626253,-0.0034477152836534,0.404480604908563,0.00581595402688595,0.0826321894580143,-0.0835081916781148,2.91309512738297e-08,-0.00352880438702982,0.102432498191572,0.0252041906371968,2.16151936662644e-16,-0.0308478088730024,0.290755180253157,0.102702286781,2.52143412096913e-05,-0.127237491048892,3.73004893535477e-07,0.601237987159578,8.32756399013319e-11,-3.2582177839115,0.905654478471114,1.22617276384422,0.666563342064429,-0.831101052786739,0.000587434559408109,"PF3D7_0107200","PBANKA_0206100"
"PKNH_0206500",-0.000556262059682102,0.0647736417668106,-0.000566513112346465,0.956699686975975,0.0113849727316273,0.00540413987583666,0.936413583300494,7.68513158363893e-82,-0.415857658447833,2.9044630217139e-09,-0.115024742361396,3.31296254795313e-07,-0.0448731641681225,0.61460461507947,-0.0583099090986918,9.50214620046051e-06,-0.00148793409396965,0.872093723720519,0.00508765974380513,0.0644478831302239,3.23178519581967e-05,1,-0.0147152827692125,0.908150984612114,-0.00894411888507264,0.00857434243883092,"PF3D7_0107000.1","PBANKA_0206300"
"PKNH_0206700",2.08217386453091e-05,0.0164094116460847,-0.000229568305274985,1,0.004551365569565,0.542825565550926,0.104732109660916,6.53185787313255e-08,0.0727699937785899,0.0242139742810384,-0.0765493694868185,1.39866120034801e-10,0.0635290454072257,0.213038301267635,-0.54714170435867,1.06140927124298e-26,0.000348494074884352,0.914983231185324,-0.00333365082962523,0.0704284771539387,-0.000170120368437902,0.905654478471114,0.000400461013758901,0.0257615800635588,3.4334367728127e-05,0.0048887235446045,"PF3D7_0106800","PBANKA_0206500"
"PKNH_0207100",-0.406078476349274,0.00367817033125004,-0.240212661378461,0.10058820590522,0.167492048647826,0.00402373853378286,-0.234916175605393,1.35598313808915e-28,-0.000257519962086173,0.559778751255263,-0.00199244615296397,0.418135020620242,6.04072878610513e-05,3.53591055467439e-05,0.000207877642379797,0.596585790537735,0.00424722869788457,0.643880989129413,0.0246934775742256,0.0922876839578516,0.177349619579242,0.989330207831287,0.0796308969909934,0.980818019653204,0.430118263100747,0.00135850951081246,"PF3D7_0106400","PBANKA_0206900"
"PKNH_0209800",-0.0184872401677979,0.0123407491553584,-0.000292094131888778,0.432328585971315,0.101854506100744,2.16294071302488e-05,-0.135455493767182,4.89378742295702e-05,-0.0292711046219332,0.113385691237652,-0.00796191952036291,7.59324722508155e-05,0.000991866586156607,0.564361880038268,0.00117079340952875,0.457602099641734,0.0564978702221766,0.00141928463117165,0.0438610170627326,0.00555705733492936,0.157695446168021,1,-0.424828535622724,0.657077618095903,-0.087737485695115,0.267640706633908,"PF3D7_0103700","PBANKA_0209400"
"PKNH_0211000",1.07417289866143e-05,0.474323922138096,0.0426222427604259,0.465144132634618,0.280985706123532,1.2375332911765e-09,-0.252138747514478,2.34451279570004e-17,0.173820742975616,1.30996695548208e-10,-0.107118409490188,1.05560741982055e-34,-0.00591809701164778,0.680831917162825,-0.000835543047080069,0.388744067107449,0.032411995966861,5.22626687399108e-05,-0.00636480230917447,0.00852118627019144,0.00139226231430261,0.984063093901276,0.00104443501656578,0.528616689646802,0.000345694053112149,0.0200182879037237,"PF3D7_0726400","PBANKA_0210500"
"PKNH_0213100",3.31324045171694e-05,0.118671371108071,-0.0037487317474021,0.956699686975975,0.00213317420757836,0.692514037427085,0.123899464500817,0.00327432489485191,0.00720876346709126,0.947641147701254,-0.109118767873415,2.69313508023723e-27,0.0181149181404083,0.368772103808498,-0.0449883724484054,5.31961952794322e-10,-0.00217286076845989,0.226495622675375,-5.18910274447843e-05,0.336771792933649,0.002612485385369,0.768884187475455,-0.831782700437696,0.0186372809062231,-9.69238081568224e-05,0.228074967738223,"PF3D7_0728500","PBANKA_0212600"
"PKNH_0213300",5.65711797541098e-05,2.09315892192587e-05,1.45069835306553e-05,1,-0.00114346608909486,0.0616667790281962,0.0724038022373839,5.64964586609925e-35,0.054119703487278,2.628678919664e-05,0.295662355906005,3.09979225351282e-55,0.0297926657479462,0.882512505851478,-0.852780026546495,2.98918504781535e-116,0.461616629419006,1.84420099311911e-10,-0.124804966671388,3.9786301355222e-12,0.129850035501117,0.905654478471114,-0.00923765542111489,0.970849820830256,-0.00603741339546149,0.119306394995084,"PF3D7_0728700","PBANKA_0212800"
"PKNH_0213500",-0.000758242741265714,0.712095215337093,0.0283112092174331,0.29874379625822,-0.00683477640926472,0.861549079331364,-0.151108909611495,0.000982610694200665,-0.07073003182704,0.000593649417449456,0.229002981522537,1.24144941278471e-33,-0.274685188389767,0.00841783697776624,-0.0717457874235056,0.000614105369878591,-0.022607345285287,1.6930979759647e-10,0.00076083329215056,0.517014957061371,1.50867664344505e-05,0.905654478471114,0.00224368095118176,0.0186372809062231,-0.000210206188665618,0.28594391024449,"PF3D7_0728900","PBANKA_0213000"
"PKNH_0214600",-0.000365483909121301,2.06938306846554e-06,0.000663136344781283,0.000210214664903,-0.00238191872607656,0.0215528523578725,0.004701095032527,4.46719470101628e-05,0.106325182800756,6.10204742208335e-14,0.0587655956735156,1.08878397871169e-09,0.207186972140834,0.0367457388950506,-0.539135249556589,2.67951504139348e-25,-0.137431254701669,2.94582534739551e-06,0.00113998854024224,5.32281561899546e-18,-0.000624677424502224,0.905654478471114,0.000137668104675254,0.92987748462735,4.43444466959638e-05,0.450412662187217,"PF3D7_0729700","PBANKA_0213800"
